a, 工
qv, 争
qw, 欠
qy, 久
ra, 找
rb, 报
rc, 反
rd, 拓
re, 拥
rf, 质
rg, 后
rh, 看
ri, 泉
rj, 提
rk, 扣
rl, 押
rm, 抽
rn, 所
ro, 扩
rp, 近
rq, 换
rr, 折
rs, 打
rt, 手
ru, 拉
rv, 扫
rw, 兵
rx, 指
ry, 搞
sa, 模
sb, 李
sc, 权
sd, 顶
se, 杉
sf, 票
sg, 本
sh, 相
si, 档
sj, 查
sk, 可
sl, 柬
sm, 贾
sn, 札
so, 杰
sp, 枕
sq, 构
sr, 析
ss, 林
st, 枚
su, 样
sv, 根
sw, 机
sx, 楷
sy, 术
ta, 长
tb, 秀
tc, 么
td, 知
te, 务
tf, 等
tg, 年
th, 处
ti, 秒
tj, 得
tk, 各
tl, 备
tm, 身
tn, 乐
to, 秋
tp, 乏
tq, 稳
tr, 稀
ts, 条
tt, 秩
tu, 冬
tv, 委
tw, 答
tx, 每
ty, 入
ua, 并
ub, 疗
uc, 痛
ud, 头
ue, 前
uf, 斗
ug, 半
uh, 着
ui, 冰
uj, 间
uk, 问
ul, 闸
um, 端
un, 闷
uo, 普
uq, 次
ur, 交
us, 亲
ut, 道
uu, 立
uv, 妆
uw, 闪
ux, 北
uy, 六
va, 既
vb, 好
vc, 妈
vd, 姑
ve, 姐
vf, 寻
vg, 建
vh, 肃
vi, 录
vj, 旭
vk, 如
vl, 姻
vn, 恳
vo, 灵
vp, 退
vq, 婚
vs, 杂
vt, 九
vu, 嫌
vv, 妇
vx, 姆
vy, 妨
wa, 代
wb, 他
wc, 公
wd, 估
we, 佣
wf, 什
wg, 全
wh, 个
wi, 偿
wj, 介
wk, 保
wl, 佃
wm, 仙
wn, 亿
wo, 伙
wq, 你
wr, 风
ws, 休
wt, 八
wu, 们
wv, 分
ww, 从
wx, 化
wy, 信
xa, 红
xb, 级
xc, 弘
xd, 顷
xe, 组
xf, 结
xg, 线
xh, 引
xi, 纱
xj, 旨
xk, 强
xl, 细
xm, 贯
xn, 纪
xo, 继
xp, 综
xq, 约
xr, 绵
xs, 缚
xt, 乡
xu, 弱
xv, 绍
xw, 给
xx, 比
xy, 纺
ya, 试
yb, 享
yc, 充
yd, 诚
ye, 衣
yf, 计
yg, 证
yh, 让
yi, 就
yj, 刘
yk, 训
yl, 亩
ym, 市
yn, 记
yo, 亦
yp, 亮
yq, 询
yr, 义
ys, 订
yt, 放
yu, 详
yv, 良
yw, 认
yx, 率
yy, 方

aaa, 工
aad, 匿
aad, 匞
aah, 芽
aak, 戒
aau, 藏
aau, 戔
aay, 式
abe, 荫
abf, 茸
abf, 芓
abh, 邛
abh, 卭
abi, 蒸
abj, 节
abm, 茁
abr, 艿
abu, 萨
abv, 匜
aca, 茎
acb, 芭
ack, 苔
acn, 茅
ada, 莽
ade, 戎
adf, 苦
adh, 荐
adk, 若
adm, 项
adu, 茂
adu, 芖
aeb, 芼
aee, 荔
aej, 苚
aek, 茄
aer, 藐
aer, 艻
aes, 菜
aet, 功
aet, 㣉
aeu, 藤
aew, 苏
afc, 靶
afe, 勒
aff, 苷
aff, 芏
afi, 蒜
afj, 革
afj, 芉
afl, 蕾
afm, 贰
afn, 苇
afp, 鞍
afq, 芜
afr, 靳
afs, 藉
afu, 蔷
afu, 苿
afw, 鞭
aga, 荆
agd, 匡
agf, 芋
agh, 蔫
agn, 七
agn, 匚
agn, 匸
agq, 葬
agu, 芙
ahd, 菲
ahf, 芷
ahf, 苜
ahf, 䒙
ahk, 颐
ahn, 臣
aht, 牙
aib, 范
aig, 萍
aii, 东
aik, 藻
ain, 荡
ais, 蒲
ait, 蔽
aiu, 汞
aiu, 䒕
aiy, 茫
ajd, 莫
aje, 萌
ajf, 昔
ajf, 䒤
ajh, 划
ajh, 㓚
ajj, 草
ajl, 蔓
ajq, 葛
ajt, 蓝
aju, 茧
akd, 叵
akd, 戓
akg, 勤
akk, 颧
aku, 燕
ala, 蔑
ald, 茵
alf, 苗
alj, 莗
alk, 匣
alp, 莲
alq, 萝
alt, 菌
amd, 英
amf, 苖
amh, 匝
amu, 贡
amu, 貢
amw, 黄
anb, 艺
anb, 芑
and, 巨
anf, 蔚
anf, 苢
anh, 蔬
ann, 蕊
anu, 芯
anv, 世
anv, 戉
aoa, 蔗
aos, 蘑
aou, 炗
aou, 苂
ape, 劳
apf, 蒙
apg, 莹
apj, 萤
apk, 营
apl, 荤
apo, 荧
aps, 荣
apu, 芝
apw, 蓉
aqb, 苑
aqf, 菳
aqg, 蓟
aqk, 警
aqn, 苞
aqo, 菊
aqr, 葱
aqs, 葡
aqt, 萄
aqu, 芕
aqv, 匹
aqv, 兂
aqv, 旡
aqy, 芍
arb, 芞
arf, 苩
arf, 茊
ari, 区
arj, 芹
ark, 匠
arq, 欧
aru, 艾
arw, 殴
asf, 茜
asg, 苯
asj, 艼
ask, 苛
asu, 莆
asu, 㭉
atd, 医
atg, 董
atj, 莉
atl, 蓖
atn, 薛
atu, 䒘
atu, 䒩
atv, 萎
aty, 攻
auf, 苙
auf, 菛
auj, 莘
auk, 菩
auq, 茨
aus, 薪
avb, 艽
avd, 菇
avh, 萧
avk, 茹
avr, 芀
avt, 切
avt, 㓛
avu, 茛
awb, 苍
awb, 芁
awf, 蔡
awg, 葵
awi, 戍
awj, 芥
awn, 巷
aws, 茶
awu, 共
awu, 䒔
awv, 芬
aww, 巫
awx, 花
awy, 恐
axb, 芎
axj, 蕴
axq, 药
axu, 苺
ayf, 䓂
ayi, 弋
ayj, 蔼
ayk, 蓑
ayn, 芦
ayr, 芳
ayu, 蒂
ayu, 芠
ayx, 蓄
bai, 陈
bay, 聀
bbb, 子
bbf, 孕
bbg, 孖
bbg, 聑
bbg, 䦻
bbh, 耶
bbn, 阤
bby, 陂
bcc, 聂
bci, 聚
bci, 夃
bcl, 盈
bcn, 㿬
bcv, 娶
bcy, 取
bda, 隋
bde, 随
bdf, 呄
bdi, 承
bdj, 陌
bdm, 颇
bdx, 陇
beg, 阴
beg, 䎳
ben, 毦
bet, 阞
bfd, 孺
bfh, 陡
bfh, 皯
bfh, 䦹
bfi, 际
bfq, 阮
bfw, 陵
bgb, 陆
bgd, 卫
bgd, 孒
bgh, 耳
bgk, 隔
bgm, 陋
bgu, 陕
bhg, 耻
bhg, 阯
bhk, 屮
bib, 函
bii, 氶
bij, 隙
bip, 逊
biu, 尕
biy, 孙
biy, 阥
bjg, 阳
bjh, 刵
bjh, 㓟
bjm, 隅
bkf, 叾
bkm, 陨
bkw, 职
blf, 孟
blf, 盁
blg, 䧃
blh, 阵
blh, 陣
bmf, 祟
bmg, 聘
bmk, 出
bmk, 岀
bmy, 孭
bnh, 了
bnh, 卩
bnh, 阝
bnh, 凵
bnn, 孔
bnn, 巜
bnn, 耴
bnn, ⺋
bnn, 㔾
bnn, 䎲
bnt, 乃
bnu, 孞
bny, 恥
boy, 耿
boy, 阦
bpd, 䢊
bpe, 辸
bpf, 院
bpk, 辽
bpq, 耽
bpv, 迆
bpx, 陀
bqe, 陷
bqt, 聊
bqv, 隐
brc, 孤
bsg, 䧈
bsh, 耵
bsh, 䦺
bsk, 阿
bsu, 朶
bsy, 陠
btg, 隆
bty, 孜
bud, 联
bue, 隧
buj, 障
buk, 陪
buw, 隘
bvy, 限
bwf, 附
bwg, 除
bwj, 阶
bwy, 队
bxi, 乸
bxx, 陛
byi, 及
byi, 孓
byi, 卪
byn, 孩
byt, 防
cad, 颈
cae, 劲
caj, 弁
cay, 戏
cay, 牫
cbh, 邓
cbn, 牠
ccc, 又
ccn, 㸭
ccu, 㕕
ccu, 㕛
ccy, 双
ccy, 厸
cdd, 叁
cde, 参
cdg, 牯
cee, 勇
cef, 䏍
cej, 甬
cen, 牦
cep, 通
cet, 劝
cet, 牞
cex, 能
cff, 圣
cfg, 牡
cfh, 㸩
cfn, 犊
cfy, 对
cga, 驱
cgb, 骤
cgc, 驭
cgd, 马
cgk, 驯
cgl, 骡
cgm, 骋
cgp, 驼
cgq, 驹
cgr, 驳
cgt, 骄
cgw, 验
cgy, 驴
ciu, 厼
ckf, 台
ckh, 㸪
ckn, 怠
clg, 牭
cmg, 牰
cmj, 岊
cmq, 观
cmu, 貟
cmu, 贠
cmy, 㸽
cnh, 巴
cny, 厶
cny, 
coi, 馬
cqb, 允
cqg, 鸡
cqr, 物
cqw, 欢
crh, 㸫
csg, 牺
ctd, 矣
ctg, 牲
cty, 牧
cuh, 䍧
cui, 㕚
cvy, 艰
cwy, 难
cxn, 牝
cxy, 牳
cyi, 叉
cyj, 蚤
cyt, 牥
daf, 左
dag, 矼
daj, 㚏
dam, 砸
dan, 碟
dav, 砌
day, 䂝
dbd, 顾
dbf, 耷
dbg, 矷
dbh, 䂙
dbj, 㚎
dbm, 础
dbv, 厄
dby, 破
dcb, 夿
dcg, 码
dcu, 友
dcu, 厷
dcu, 厺
dcu, 㕝
dcw, 雄
ddd, 磊
ddd, 㕆
ddg, 碱
ddg, 砳
ddh, 厦
ddi, 厌
ddm, 硕
ddu, 套
ddu, 㚐
ddy, 夶
ddy, 㹜
deb, 郁
dee, 历
def, 有
deg, 胡
deh, 砽
dep, 鬃
der, 夯
det, 髟
det, 劯
deu, 長
dfa, 奔
dfc, 磕
dfd, 圧
dfe, 辰
dff, 奎
dff, 圶
dff, 夳
dfh, 矸
dfi, 奈
dfj, 夲
dfk, 厈
dfn, 砖
dft, 奢
dfu, 夺
dfy, 压
dga, 研
dgd, 戌
dgh, 古
dgj, 硬
dgk, 咸
dgq, 厉
dgt, 厂
dgt, 丆
dgt, 
dgu, 砰
dgv, 威
dgy, 砆
dhb, 存
dhd, 慧
dhe, 甭
dhf, 在
dhg, 歪
dhg, 砋
dhi, 不
dhk, 丰
dhp, 还
dhq, 艳
dht, 夏
dhv, 契
die, 硝
dit, 砂
diu, 泵
diu, 夵
diy, 砅
djb, 厚
djf, 百
djg, 碍
djh, 砷
djh, 矵
djj, 夰
djn, 奄
dkf, 右
dkf, 夻
dkj, 夼
dlf, 奋
dlg, 䦉
dlh, 砗
dlh, 硨
dlj, 面
dlk, 厍
dlk, 厙
dlk, 㕅
dma, 碘
dmb, 冇
dmd, 碳
dmf, 碉
dmh, 布
dmj, 厕
dmj, 㞭
dmq, 砚
dmu, 页
dmu, 頁
dna, 碾
dnb, 乭
dng, 䎁
dnl, 盛
dnu, 怘
dnv, 成
dnv, 尢
dny, 尤
dol, 盔
doq, 磷
dot, 矿
dou, 灰
dpi, 达
dpi, 迖
dpq, 碗
dpt, 牵
dqb, 克
dqd, 兢
dqd, 㕋
dqe, 确
dqg, 碒
dqw, 砍
dqy, 矽
drg, 砶
drg, 䂡
drh, 斫
dri, 原
drr, 爽
drt, 碑
dsg, 硒
dsh, 厢
dsh, 矴
dsi, 㕊
dsj, 碴
dsk, 厅
dsu, 㚓
dsu, 䂞
dtb, 邦
dtf, 寿
dtn, 砾
dty, 故
dua, 磋
dud, 㕇
dug, 砬
duj, 辜
duj, 羍
duk, 厗
duo, 碰
duu, 冭
dux, 磁
dva, 厩
dvg, 肆
dvi, 碌
dvy, 硍
dwe, 期
dwf, 基
dwg, 奉
dwi, 仄
dwi, 
dwj, 春
dwn, 矶
dwq, 欺
dwr, 斯
dwt, 秦
dwu, 其
dww, 雁
dwy, 矾
dxn, 䂗
dxv, 㔫
dxx, 砒
dxy, 龙
dxy, 砪
dyc, 硫
dyg, 䂴
dyi, 太
dyi, 丈
dyn, 态
dyu, 磅
dyw, 碎
dyy, 砇
eaf, 腻
eag, 肛
eaj, 舁
eaw, 毁
ebc, 服
ebe, 㲌
ebf, 孚
ebg, 䏪
ebn, 乳
ebn, 肔
eby, 䏢
eby, 䝛
eck, 胎
ecn, 肥
edf, 胯
edh, 胚
edm, 须
edy, 肰
eee, 月
eee, 毝
eef, 舀
eeg, 朋
een, 㲎
eeq, 鹏
eet, 肋
eet, 肜
eew, 胁
efc, 肢
efg, 肚
efh, 肝
efh, 豻
efk, 膨
efp, 脖
eft, 豺
efu, 寽
efy, 肘
egc, 县
egd, 且
ege, 助
egm, 肺
egx, 胰
egy, 肤
ehk, 毡
ehk, 丯
ehu, 辵
eii, 毜
eii, 㲑
eip, 膛
ejf, 㸓
ejg, 胆
ejh, 刖
ejt, 腥
ekc, 驾
ekg, 加
ekh, 肿
ekm, 贺
eks, 架
ele, 舅
elg, 舆
elh, 胛
eln, 腮
elv, 爵
ema, 腆
emq, 觅
enb, 㐍
enn, 劜
enn, 肊
enr, 肠
ent, 力
enu, 鼠
env, 甩
eof, 脏
eoi, 毩
eoo, 毯
eou, 䊆
eow, 腑
eoy, 脒
epc, 受
epd, 爱
epd, 迌
epe, 边
epq, 腕
epv, 胺
epw, 腔
eqb, 兒
eqd, 脆
eqn, 胞
eqr, 胸
eqy, 豹
erg, 胉
erg, 貃
erh, 肵
eri, 腺
ern, 䏗
erq, 貌
ert, 脾
esd, 毢
ese, 彩
esf, 膊
esu, 采
esv, 腰
esw, 膝
esy, 脯
esy, 䝗
eta, 胀
etf, 遥
etg, 胜
eth, 臼
etj, 腹
etk, 胳
etn, 用
eug, 胖
eug, 䏠
euh, 羘
euj, 臆
euk, 脱
eur, 胶
euu, 膳
evf, 妥
evg, 肗
evn, 肍
evp, 腿
evy, 貇
ewc, 股
ewg, 脸
ewi, 办
ewi, 臾
ewn, 肌
exj, 脂
exy, 胟
eyj, 脐
eyn, 脉
eyr, 脑
eyt, 肪
eyu, 膀
eyw, 肮
eyx, 臃
faf, 霸
faf, 卋
fai, 
fai, 㦮
faj, 卉
fak, 哉
fal, 载
fas, 栽
faw, 塔
fay, 裁
fbh, 邯
fbh, 邗
fbj, 壭
fbk, 凷
fbn, 地
fby, 坡
fcb, 却
fce, 动
fcn, 翅
fcp, 运
fcr, 魂
fct, 埃
fcu, 去
fcu, 支
fcu, 云
fdf, 震
fdf, 雼
fdg, 坧
fdh, 坏
fdm, 需
fdn, 城
fdw, 堪
feb, 雮
fen, 㘪
feq, 霓
fet, 㔹
fet, 㘦
few, 协
ffc, 坛
fff, 圭
fff, 亖
fff, 雸
ffg, 坩
ffh, 填
ffi, 款
fft, 堵
ffu, 寺
fgg, 二
fgh, 十
fgj, 垣
fgu, 坪
fha, 越
fhb, 趣
fhf, 直
fhf, 㱏
fhg, 址
fhg, 圵
fhh, 赴
fhi, 趟
fhl, 盐
fhn, 起
fho, 墟
fhq, 趋
fhr, 赵
fhu, 走
fhv, 超
fhw, 真
fhy, 圤
fie, 霄
fiu, 示
fje, 朝
fjf, 埋
fjg, 坦
fjh, 刊
fjh, 刌
fjj, 亓
fjj, 
fjk, 井
fjn, 塌
fjp, 进
fjt, 乾
fjw, 翰
fke, 袁
fkf, 吉
fkh, 圳
fku, 喜
flf, 雷
flf, 㿻
fmh, 圸
fmu, 献
fmy, 坝
fmy, 垻
fnb, 亏
fnb, 㐊
fnb, 㐋
fnf, 䨒
fnh, 韦
fnk, 霹
fnn, 圯
fnn, 圮
fnn, 圠
fnr, 声
fnu, 志
fnu, 忈
fnv, 亐
fnw, 块
fny, 专
fob, 郝
fof, 赫
fot, 圹
fou, 赤
fou, 灻
fou, 㶣
fov, 塘
fpb, 勃
fpg, 壹
fpi, 过
fpk, 辻
fpk, 迀
fpo, 壶
fpw, 壳
fpx, 索
fqb, 元
fqb, 圥
fqd, 顽
fqn, 雹
fqp, 远
fqu, 均
fqv, 无
fqw, 坎
frg, 垢
frg, 坵
frh, 圻
fsc, 耙
fse, 耗
fsf, 博
fsh, 霜
fsh, 圢
fsi, 耒
fsk, 坷
fss, 霖
fsu, 某
fsu, 雬
fsy, 埔
ftb, 孝
fte, 才
fte, 耂
ftg, 考
ftj, 者
ftn, 埠
ftx, 老
fty, 坆
fty, 攼
fue, 丧
fuf, 幸
fuf, 雴
fug, 垃
fuh, 垟
fuh, 垶
fuj, 境
fuk, 培
ful, 增
fvf, 雪
fvy, 垠
fws, 垛
fwy, 堆
fxy, 坶
fyb, 墩
fyf, 霅
fyi, 圡
fyk, 壤
fyp, 壕
fyr, 雱
fyt, 坊
fyu, 雯
fyw, 坑
fyy, 坟
gab, 邢
gae, 形
gag, 玒
gah, 武
gai, 戋
gaj, 弄
gak, 开
gal, 盏
gbg, 珥
gbg, 㺭
gbh, 邞
gbk, 击
gbn, 屯
gby, 玻
gcf, 至
gcg, 玛
gcu, 丟
gcy, 㺨
gde, 瑚
gdh, 环
gdi, 天
gdj, 蚕
gdk, 吞
gdu, 㺯
gdy, 㺴
gef, 青
geg, 玥
gei, 豕
gep, 逐
geq, 静
get, 瑶
get, 玏
geu, 表
gfc, 珐
gfg, 玵
gfh, 玕
gfk, 于
gfl, 盂
gfp, 迂
gfq, 玩
ggc, 琶
gge, 琢
ggg, 王
ggg, 玨
ggh, 五
ggi, 球
ggj, 替
ggl, 一
ggn, 瑟
ggw, 琴
ggx, 琵
ggy, 玞
ggy, 㚘
ghd, 正
ghd, 㠪
ghg, 焉
ghg, 㺺
ghi, 下
ghk, 丅
ght, 政
ghy, 㺪
gim, 琐
giy, 求
gjf, 理
gjh, 惠
gjh, 㺫
gjk, 丌
gjr, 更
gkf, 吾
gkh, 囊
gkh, 玔
gkk, 卅
gkl, 副
gkm, 融
gkp, 带
gkr, 吏
gku, 豆
gkv, 事
glb, 画
glh, 玾
glk, 卌
gma, 遭
gmd, 瑞
gmf, 再
gmm, 珊
gmq, 规
gmu, 责
gmu, 責
gmw, 丙
gmy, 丽
gmy, 珼
gnb, 㐏
gng, 与
gng, 珝
gni, 㝳
gnn, 瓦
gnn, 玌
gnn, 玘
gnr, 戸
gnu, 忢
gnv, 丂
god, 亚
goi, 灭
goj, 晋
gon, 恶
got, 严
gpd, 辷
gpd, 迋
gqc, 殆
gqe, 万
gqf, 殖
gqg, 残
gqg, 琻
gqi, 歹
gqj, 列
gqm, 殃
gqp, 迈
gqq, 殉
gqt, 殊
gqv, 兀
gqv, 兀
gqx, 死
gqy, 玖
grd, 碧
grg, 珀
grq, 瑰
gsh, 玎
gsi, 末
gsj, 亍
gss, 琳
gtf, 珠
gtu, 麦
gty, 玫
gud, 夹
guf, 平
guh, 珜
gus, 来
gvh, 妻
gvy, 珢
gwe, 珍
gwn, 玑
gwu, 兲
gwy, 玲
gwy, 玐
gxd, 互
gxi, 素
gxu, 毒
gxw, 夷
gyc, 琉
gyg, 斑
gyg, 琂
gyi, 玉
gyi, 乁
gyi, 玊
gyr, 璃
gyt, 班
gyv, 琅
gyy, 玟
hag, 虐
hal, 瞄
hbg, 眲
hbj, 齒
hcu, 攴
hdg, 䀦
hdh, 悲
hdu, 狊
hee, 虏
hef, 肯
heg, 眀
hen, 眊
hep, 瞬
hes, 睬
het, 䀐
hfc, 歧
hfh, 盰
hft, 睹
hfw, 睦
hfy, 眛
hgd, 丄
hge, 睛
hgh, 凸
hgv, 睫
hhd, 频
hhg, 止
hhg, 䀠
hhh, 目
hhr, 步
hhu, 卡
hhu, 歨
hhy, 卜
hic, 叔
hiu, 尗
hjf, 㫖
hjg, 旧
hjj, 卓
hjs, 桌
hka, 战
hkf, 占
hkg, 虞
hko, 点
hlf, 盀
hlr, 卤
hmu, 贞
hmu, 貞
hna, 眠
hnd, 鼎
hnh, 凹
hni, 虑
hnr, 卢
hnt, 瞩
hnu, 忐
hod, 虚
hoy, 眯
hpd, 瞎
hqb, 見
hqc, 餐
hqd, 瞻
hqi, 眺
hqu, 歺
hqu, 㱑
hqv, 睁
hrd, 虗
hrh, 盺
hsh, 盯
hsy, 䀯
htg, 睡
hti, 䖍
hto, 瞅
htp, 眨
huh, 眻
huj, 瞳
hvy, 眼
hwb, 齿
hwe, 彪
hwg, 瞪
hwu, 具
hwu, 仧
hwv, 虎
hwv, 凣
hwy, 瞧
hxf, 些
hxn, 此
hxs, 柴
hxv, 䖈
hxw, 雌
hxx, 紫
hyi, 虔
hyt, 眆
hyx, 眩
hyy, 盿
iag, 江
iaj, 漠
iak, 灌
ian, 汇
ian, 㲺
iap, 涝
iaq, 鸿
iar, 沤
ias, 柒
iat, 浇
iav, 沏
iaw, 洪
iay, 㳀
ibg, 洱
ibg, 汓
ibi, 涵
ibk, 凼
ibn, 池
ibn, 氾
ibv, 婆
ibw, 滁
iby, 波
icd, 渗
ice, 涌
icg, 泽
ick, 治
icw, 滩
icy, 汉
ide, 湖
idf, 涯
idf, 沯
idg, 沽
idg, 沰
idj, 淹
idr, 源
idt, 涛
idu, 尖
idw, 湛
idy, 汰
idy, 汏
idy, 汱
ieb, 浮
iee, 滔
ief, 肖
ief, 㳫
ieg, 沮
ieg, 㳉
iej, 削
iet, 淫
iet, 氻
iex, 溪
ifc, 法
iff, 尘
iff, 坔
ifg, 泔
ifg, 汢
ifh, 汗
ifh, 汁
ifj, 潮
ifk, 洁
ifn, 污
ifp, 渤
ify, 沬
iga, 浅
igd, 添
ige, 清
igg, 汪
igk, 滞
igm, 渍
igq, 光
igs, 沫
igw, 兴
ihg, 泪
ihg, 沚
ihh, 涉
ihi, 淑
ihj, 淖
ihk, 沾
ihn, 滤
iht, 小
iie, 消
iii, 水
iim, 淌
iit, 沙
iiy, 沝
ija, 瀑
ijf, 沓
ijg, 汨
ijg, 汩
ijl, 温
ijo, 湿
ijq, 渴
ijt, 滥
ijx, 混
ijy, 浊
ikf, 呇
ikh, 溃
ikh, 汌
ikk, 澡
ikm, 涡
ild, 涸
ile, 渭
ilf, 泴
ilf, 畄
ilf, 畓
ilg, 泗
ilg, 沺
ilg, 㳑
ilh, 㳌
ilp, 涟
ilr, 渐
ilw, 泅
imd, 湍
ime, 滑
img, 油
imh, 汕
imj, 测
imk, 尚
imy, 浿
inb, 尐
inf, 漏
inn, 汜
inn, 㲸
inr, 汤
int, 泌
inx, 泥
iny, 沁
ioa, 渡
ioo, 淡
iot, 㲿
ioy, 洣
ipb, 学
ipb, 
ipe, 浓
ipf, 尝
ipg, 泻
ipk, 常
ipl, 浑
ipm, 觉
ipq, 沈
ipr, 滨
ips, 泞
ipu, 滓
ipw, 沉
iqc, 沟
iqg, 淦
iqm, 涣
iqn, 泡
iqt, 淘
iqy, 汐
irb, 汹
ird, 淆
ire, 派
irg, 泊
irg, 㳋
irh, 沂
irn, 汽
irr, 浙
iry, 激
iry, 㲼
isf, 漂
isg, 洒
ish, 汀
isj, 潭
isk, 河
iss, 淋
isw, 漆
isy, 浦
isy, 沐
ita, 弊
itd, 活
ite, 少
itf, 洗
