a, 工
rj, 提
rk, 损
rl, 摆
rm, 制
rn, 气
ro, 扩
rp, 近
rq, 换
rr, 折
rs, 打
rt, 手
ru, 拉
rv, 热
rw, 失
rx, 指
ry, 护
sa, 模
sb, 李
sc, 权
sd, 顶
se, 棚
sf, 村
sg, 本
sh, 相
si, 档
sj, 查
sk, 可
sl, 楞
sm, 贾
sn, 杨
so, 杰
sp, 枕
sq, 构
sr, 析
ss, 林
st, 格
su, 样
sv, 根
sw, 机
sx, 楷
sy, 术
ta, 长
tb, 秀
tc, 么
td, 知
te, 务
tf, 等
tg, 生
th, 处
ti, 秒
tj, 得
tk, 各
tl, 备
tm, 向
tn, 乐
to, 秋
tp, 管
tq, 物
tr, 稀
ts, 条
tt, 笔
tu, 科
tv, 很
tw, 答
tx, 第
ty, 入
ua, 并
ub, 闻
uc, 痛
ud, 头
ue, 前
uf, 斗
ug, 着
uh, 站
ui, 冰
uj, 间
uk, 问
ul, 单
um, 端
un, 决
uo, 普
uq, 次
us, 亲
ut, 道
uu, 立
uv, 兼
uw, 准
ux, 北
uy, 门
va, 媒
vb, 好
vc, 即
vd, 姑
ve, 退
vf, 寻
vg, 建
vi, 录
vj, 旭
vk, 如
vl, 姻
vn, 刀
vo, 灵
vp, 嫁
vq, 婚
vs, 杂
vt, 九
vu, 嫌
vv, 妇
vx, 姆
vy, 娘
wa, 代
wb, 他
wc, 公
wd, 做
we, 佣
wf, 会
wg, 全
wh, 个
wi, 偿
wj, 介
wk, 保
wl, 佃
wm, 仙
wn, 假
wo, 伙
wq, 你
wr, 风
ws, 体
wt, 八
wu, 位
wv, 分
ww, 从
wx, 化
wy, 信
xa, 红
xb, 级
xc, 经
xd, 顷
xe, 组
xf, 线
xg, 纯
xh, 引
xi, 纱
xj, 费
xk, 强
xl, 细
xm, 纲
xn, 纪
xo, 继
xp, 缩
xq, 约
xr, 缴
xt, 张
xu, 弱
xv, 绿
xw, 给
xx, 比
xy, 统
ya, 谋
yc, 充
yd, 诚
ye, 衣
yf, 计
yg, 请
yh, 让
yj, 刘
yk, 就
yl, 谓
ym, 市
yn, 记
yo, 变
yp, 这
yq, 询
yr, 义
ys, 订
yt, 放
yu, 说
yv, 良
yw, 六
yx, 率
yy, 方

aaa, 工
aad, 匿
aad, 匞
aah, 芽
aak, 戒
aau, 戔
aay, 式
abe, 荫
abf, 茸
abf, 芓
abh, 邛
abh, 卭
abi, 蒸
abj, 节
abm, 茁
abr, 艿
abu, 萨
abv, 匜
aca, 茎
acb, 芭
ack, 苔
acn, 茅
ade, 戎
adf, 苦
adh, 荐
adi, 藉
adk, 若
adm, 项
adn, 藏
adu, 芖
adw, 基
adx, 茂
ady, 莽
aee, 荔
aek, 茄
aer, 藐
aer, 艻
aes, 菜
aet, 功
aet, 㣉
aeu, 藤
aew, 苏
afb, 邯
afc, 芸
afd, 甘
aff, 芏
afi, 蒜
afj, 芉
afl, 蕾
afm, 贰
afn, 苇
afq, 芜
afs, 某
afu, 蔷
afw, 芙
aga, 荆
agd, 匡
age, 莆
agf, 芋
agh, 廿
agj, 蕙
agn, 七
agn, 匚
agn, 匸
ago, 莱
agq, 葬
ags, 茉
agu, 苹
ahd, 菲
ahf, 芷
ahf, 苜
ahk, 熙
ahk, 㐄
ahn, 卧
aht, 牙
aib, 范
aig, 薄
aih, 菠
aii, 东
aik, 藻
ail, 薀
ain, 荡
ais, 菏
ait, 落
aiu, 汞
aiu, 䒕
aiy, 茫
ajd, 莫
aje, 萌
ajf, 昔
ajf, 䒤
ajh, 划
ajh, 㓚
ajj, 菖
ajl, 蔓
ajq, 葛
ajt, 蓝
aju, 茧
ajv, 郾
akd, 叵
akd, 戓
akf, 革
akg, 勤
akk, 颧
aku, 燕
ald, 蔑
alf, 苗
alj, 莗
alk, 匣
alp, 莲
alq, 萝
alt, 菌
amd, 英
amf, 苖
amh, 匝
amu, 贡
amu, 貢
amw, 黄
anb, 艺
anb, 芑
and, 巨
anf, 蔚
anh, 蔬
ann, 蕊
anu, 芯
anv, 世
aoa, 蔗
aos, 蘑
aou, 炗
aou, 苂
ape, 劳
apf, 蒙
apg, 莹
apj, 萤
apk, 营
apl, 荤
apo, 荧
apq, 莺
aps, 荣
apu, 芝
apw, 蓉
aqb, 苑
aqf, 菳
aqg, 葡
aqj, 荀
aqk, 敬
aqn, 苞
aqo, 菊
aqr, 葱
aqt, 获
aqu, 芕
aqv, 匹
aqv, 兂
aqv, 旡
aqy, 芍
arf, 苩
arg, 瓯
ari, 区
arj, 芹
ark, 匠
arq, 欧
aru, 艾
arw, 殴
asf, 茜
asg, 苯
asj, 艼
ask, 苛
asu, 㭉
ata, 苌
atb, 莠
atd, 医
atg, 董
atj, 莉
atl, 蓖
atm, 薇
ato, 蕃
atu, 䒘
atu, 䒩
atv, 萎
aty, 攻
auf, 苙
auf, 菛
auk, 菩
aum, 蔽
auq, 茨
aus, 薪
auw, 蔺
avb, 艽
avd, 菇
avi, 萧
avk, 茹
avr, 芀
avt, 切
avt, 㓛
awb, 苍
awb, 芁
awd, 茯
awf, 蔡
awg, 葵
awj, 芥
awn, 恭
aws, 茶
awu, 共
awu, 䒔
awv, 芬
aww, 巫
awx, 花
awy, 恐
axb, 芎
axj, 蕴
axq, 药
axu, 苺
ayf, 䓂
ayi, 弋
ayj, 蔼
ayk, 蓑
ayn, 荒
ayr, 芳
ayu, 蒂
ayu, 芠
ayw, 萃
ayx, 蓄
bai, 陈
bay, 聀
bbb, 子
bbf, 孕
bbg, 孖
bbg, 聑
bbg, 䦻
bbh, 耶
bbn, 阤
bcc, 聂
bci, 聚
bci, 夃
bcl, 盈
bcv, 娶
bcy, 取
bda, 隋
bdf, 呄
bdi, 承
bdj, 陌
bdx, 陇
beg, 阴
beg, 䎳
bet, 阞
bfd, 孺
bfh, 陡
bfh, 䦹
bfi, 际
bfq, 阮
bfw, 陵
bgb, 陆
bgd, 卫
bgd, 孒
bgh, 耳
bgk, 隔
bgm, 陋
bgu, 陕
bhc, 陂
bhg, 耻
bhg, 阯
bhh, 陟
bhk, 屮
bhn, 鼐
bib, 函
big, 丞
bii, 氶
bij, 隙
bip, 逊
biu, 尕
biy, 孙
biy, 阥
bjg, 阳
bjh, 刵
bjm, 隅
bkc, 亟
bkf, 叾
bkh, 聩
bkm, 陨
bkw, 职
blf, 孟
blf, 盁
blg, 䧃
blh, 阵
blh, 陣
bmf, 祟
bmg, 聘
bmk, 出
bmy, 孭
bnh, 了
bnh, 卩
bnh, 阝
bnh, 凵
bnn, 孔
bnn, 巜
bnn, 耴
bnn, ⺋
bnn, 㔾
bnn, 䎲
bnt, 乃
bnu, 孞
bny, 恥
boy, 耿
boy, 阦
bpd, 䢊
bpe, 辸
bpf, 院
bpk, 辽
bpq, 耽
bpv, 迆
bpx, 陀
bqe, 陷
bqn, 孢
bqr, 陶
bqt, 聊
bqv, 隐
brc, 孤
bsg, 䧈
bsh, 耵
bsh, 䦺
bsk, 阿
bsu, 朶
bta, 降
btd, 聒
btf, 陲
btg, 隆
bty, 孜
bud, 联
bue, 隧
buj, 障
buk, 聪
buw, 隘
bve, 限
bwf, 附
bwg, 除
bwj, 阶
bwy, 队
bxi, 乸
bxx, 陛
byi, 及
byi, 孓
byi, 卪
byn, 孩
byt, 防
cad, 颈
cae, 劲
caj, 弁
cap, 迳
cay, 戏
cbh, 邓
ccu, 㕕
ccu, 㕛
ccy, 双
ccy, 厸
cdd, 叁
cde, 参
cdl, 畚
cef, 䏍
ceh, 通
cet, 劝
cff, 圣
cfn, 怼
cfy, 对
cga, 驱
cgb, 骤
cgc, 骚
cgd, 马
cgg, 骊
cgk, 驶
cgl, 骡
cgm, 骋
cgp, 驼
cgq, 驹
cgr, 驳
cgt, 骄
cgu, 骥
cgw, 验
cgy, 骗
ciu, 厼
ckb, 邰
ckf, 台
ckn, 怠
ckp, 迨
cmj, 岊
cmq, 观
cmu, 貟
cmu, 贠
cnh, 预
cny, 厶
cny, 
coi, 馬
cqb, 允
cqw, 欢
cqy, 鸡
ctd, 矣
ctg, 牟
cve, 艰
cwt, 逡
cwy, 难
cyi, 叉
cyj, 蚤
dad, 厮
daf, 左
dag, 矼
dai, 礴
daj, 㚏
dam, 砸
dan, 碟
dap, 礞
dav, 砌
day, 䂝
dbd, 顾
dbf, 耷
dbg, 矷
dbh, 䂙
dbj, 㚎
dbm, 础
dbv, 厄
dcb, 夿
dce, 鬃
dcg, 码
dcu, 友
dcu, 厷
dcu, 厺
dcu, 镸
dcu, 㕝
dcv, 肆
dcw, 雄
ddc, 套
ddd, 磊
ddd, 㕆
ddg, 碱
ddg, 砳
ddh, 厦
ddm, 硕
ddu, 㚐
ddy, 厌
ddy, 夶
deb, 郁
dee, 历
def, 有
deg, 胡
der, 夯
det, 劯
deu, 長
dfa, 奔
dfc, 磕
dfd, 圧
dfe, 辱
dff, 奎
dff, 圶
dff, 夳
dfh, 矸
dfi, 奈
dfj, 夲
dfk, 厈
dfn, 夸
dft, 奢
dfu, 夺
dfy, 压
dga, 研
dgh, 古
dgj, 硬
dgk, 感
dgq, 厉
dgt, 厂
dgt, 丆
dgt, 
dgu, 砰
dgv, 威
dgx, 戌
dhb, 存
dhc, 破
dhd, 慧
dhe, 甭
dhf, 在
dhg, 歪
dhg, 砋
dhi, 不
dhk, 丰
dhp, 还
dhq, 艳
dht, 夏
dhv, 契
dic, 耙
die, 硝
dif, 耕
dii, 耒
dit, 砂
diu, 泵
diu, 夵
diy, 耪
diy, 砅
djb, 厚
djf, 百
djg, 碍
djh, 砷
djh, 矵
djj, 夰
djn, 奄
dkf, 右
dkf, 夻
dkj, 夼
dlf, 奋
dlh, 砗
dlh, 硨
dlk, 厍
dlk, 厙
dlk, 㕅
dma, 碘
dmb, 冇
dmd, 碳
dmf, 碉
dmh, 布
dmj, 而
dmj, 㞭
dmq, 砚
dmu, 页
dmu, 頁
dna, 碾
dnb, 乭
dnd, 臧
dng, 䎁
dnj, 尴
dnu, 怘
dnv, 尢
dnw, 尬
dnx, 盛
dny, 尤
dol, 盔
doq, 磷
dot, 矿
dou, 灰
dpi, 达
dpq, 碗
dpt, 牵
dqa, 砥
dqb, 克
dqd, 兢
dqd, 㕋
dqe, 确
dqg, 碒
dqw, 砍
dqy, 矽
drg, 砶
drh, 斫
dri, 愿
drq, 磈
drr, 爽
drt, 碑
dsg, 硒
dsh, 厢
dsh, 矴
dsj, 碴
dsk, 厅
dsu, 㚓
dsu, 䂞
dtb, 邦
dtf, 寿
dtn, 砾
dtp, 砭
dty, 故
dub, 厥
dud, 㕇
duf, 辜
dug, 砬
duk, 碚
duo, 碰
duu, 冭
dux, 磁
dvc, 厩
dvi, 碌
dwe, 舂
dwg, 奏
dwi, 仄
dwi, 
dwn, 矶
dwt, 秦
dww, 雁
dxb, 㔫
dxn, 䂗
dxx, 砒
dxy, 袭
dxy, 砪
dyc, 硫
dyg, 砫
dyg, 䂴
dyi, 太
dyi, 丈
dyi, 犬
dyk, 礅
dyn, 态
dyu, 磅
dyw, 碎
dyx, 戍
dyy, 砇
eag, 肛
eaj, 舁
eap, 朦
ebc, 服
ebf, 孚
ebg, 䏪
ebn, 乳
ebn, 肔
eca, 胫
eck, 胎
ecn, 肥
edc, 肱
edf, 胯
edh, 胚
edm, 须
edx, 胧
edy, 肽
eee, 月
eef, 舀
eeg, 朋
eeq, 鹏
eet, 肋
eet, 肜
eew, 胁
efc, 肢
efg, 肚
efh, 肝
efh, 豻
efk, 膨
efp, 脖
eft, 豺
efu, 寽
efw, 肤
efy, 肘
egc, 县
egd, 且
ege, 助
egk, 膈
egm, 肺
egx, 胰
ehc, 叟
ehd, 腓
ehk, 用
ehk, 丯
ehn, 胪
ehu, 辵
eig, 胱
eil, 盥
eip, 膛
ejf, 㸓
ejg, 胆
ejh, 刖
ejt, 腥
ekc, 驾
ekg, 加
ekh, 肿
ekk, 臊
ekm, 贺
ekp, 迦
eks, 架
eld, 胭
ele, 舅
elg, 舆
elh, 胛
eln, 腮
elv, 爵
ema, 腆
emq, 觅
enb, 㐍
enn, 劜
enn, 肊
enr, 肠
ent, 力
enu, 鼠
env, 甩
eof, 脏
eou, 䊆
eow, 腑
eoy, 脒
epc, 受
epd, 爱
epd, 迌
epe, 边
epg, 腚
epq, 腕
epv, 胺
epw, 腔
eqb, 兒
eqd, 脆
eqn, 胞
eqr, 胸
eqy, 豹
erg, 胉
erg, 貃
erh, 肵
eri, 腺
erm, 遥
erq, 貌
ert, 脾
ese, 彩
esf, 膘
esu, 采
esv, 腰
esw, 膝
esy, 䝗
eta, 胀
etg, 胜
eth, 臼
etj, 腹
etk, 胳
etl, 貔
eud, 腾
eug, 胖
eug, 䏠
euj, 臆
euk, 脱
eve, 腿
evf, 妥
evg, 肗
evn, 肍
ewc, 股
ewg, 脸
ewi, 办
ewi, 臾
ewn, 肌
exd, 奚
exj, 脂
exy, 胟
eyj, 脐
eyl, 膻
eyn, 脉
eyr, 脑
eyt, 肪
eyu, 膀
eyw, 胶
eyx, 臃
fad, 堪
faf, 卋
faj, 卉
fak, 霸
faw, 塔
fbh, 邗
fbj, 壭
fbk, 凷
fbn, 地
fby, 圾
fcb, 却
fce, 动
fcn, 翅
fcp, 运
fcr, 魂
fct, 埃
fcu, 去
fcu, 支
fcu, 云
fde, 雳
fdf, 震
fdf, 雼
fdg, 坧
fdh, 坏
fdm, 需
fdn, 城
feq, 霓
fet, 㔹
fet, 㘦
few, 协
ffc, 坛
fff, 圭
fff, 亖
ffh, 填
ffi, 款
ffn, 恚
fft, 堵
ffu, 寺
fge, 博
fgg, 二
fgh, 十
fgu, 坪
fha, 墟
fhb, 趣
fhc, 坡
fhd, 霏
fhe, 趄
fhf, 直
fhf, 㱏
fhg, 址
fhh, 赴
fhi, 趟
fhl, 盐
fhn, 武
fhq, 趋
fhr, 赵
fhu, 走
fhv, 超
fhw, 真
fhy, 圤
fie, 霄
fig, 霈
fii, 未
fiu, 示
fjf, 朝
fjg, 坦
fjh, 刊
fjh, 刌
fjj, 亓
fjk, 井
fjn, 塌
fjp, 进
fjq, 埸
fkd, 颉
fke, 袁
fkf, 吉
fkh, 圳
fku, 鼓
fkx, 哉
fla, 戴
flf, 雷
flf, 㿻
flx, 载
fmh, 圸
fmu, 献
fmy, 坝
fmy, 垻
fnb, 㐊
fnb, 㐋
fnf, 䨒
fnh, 霞
fnk, 霹
fnn, 圯
fnn, 圮
fnn, 圠
fnr, 声
fnu, 志
fnu, 忈
fnv, 亏
fnv, 亐
fnw, 块
fny, 专
fob, 郝
fof, 赫
fot, 圹
fou, 赤
fou, 灻
fou, 㶣
fov, 塘
fpb, 勃
fpg, 壹
fpi, 过
fpk, 辻
fpk, 迀
fpo, 壶
fpw, 壳
fpx, 索
fqb, 元
fqb, 圥
fqd, 顽
fqn, 雹
fqp, 远
fqu, 均
fqv, 无
fqw, 坎
frg, 垢
frh, 圻
fsh, 霜
fsh, 圢
fsk, 坷
fss, 霖
fsu, 雬
fsx, 栽
ftb, 教
fte, 才
fte, 耂
ftf, 霆
ftg, 考
ftj, 者
ftn, 圪
ftx, 老
fty, 坆
fty, 攼
fue, 丧
fuf, 幸
fuf, 雴
fug, 垃
fuj, 境
fuk, 培
ful, 增
fuv, 霎
fve, 垠
fvf, 雪
fwf, 替
fwi, 夫
fwm, 规
fwn, 埠
fws, 垛
fww, 赍
fwy, 零
fxy, 坶
fye, 裁
fyf, 霅
fyi, 圡
fyj, 霭
fyk, 壤
fyr, 雱
fyt, 坊
fyu, 雯
fyw, 坑
fyy, 坟
gab, 邢
gad, 琪
gae, 形
gag, 玒
gaj, 弄
gak, 开
gam, 瑛
gaq, 璥
gbg, 珥
gbg, 㺭
gbj, 击
gbn, 顿
gcf, 至
gcg, 玛
gcu, 丟
gcy, 㺨
gde, 瑚
gdh, 环
gdi, 天
gdj, 蚕
gdk, 吞
gdm, 顼
gds, 琦
gdu, 㺯
gdx, 珑
gef, 青
geg, 瑗
geg, 玥
geh, 甫
gei, 豕
gek, 珈
gem, 靓
gep, 逐
geq, 静
ger, 瑶
get, 玏
geu, 表
gfc, 珐
gff, 珪
gfh, 玕
gfk, 于
gfl, 盂
gfn, 玮
gfp, 迂
gfq, 玩
ggc, 琶
gge, 琢
ggg, 王
ggg, 玨
ggh, 五
ggi, 球
ggl, 一
ggn, 瑟
ggw, 琴
ggx, 琵
ggy, 珏
gha, 琥
ghc, 玻
ghd, 正
ghg, 焉
ghg, 㺺
ghi, 下
ghk, 玷
ghk, 丅
ghn, 丐
ght, 政
ghy, 㺪
gim, 琐
giy, 救
gjf, 理
gjg, 亘
gjh, 惠
gjh, 㺫
gjk, 丌
gjr, 更
gjx, 琨
gjy, 璟
gkf, 吾
gkh, 囊
gkh, 玔
gki, 整
gkk, 卅
gkl, 副
gkm, 融
gkp, 带
gkr, 吏
gku, 豆
gkv, 事
glb, 画
glh, 玾
gli, 柬
glk, 卌
glp, 琏
gma, 遭
gmd, 瑞
gmf, 再
gmi, 刺
gmm, 珊
gmq, 现
gmu, 责
gmu, 責
gmw, 两
gmy, 丽
gmy, 珼
gna, 珉
gnb, 㐏
gnd, 琚
gng, 与
gng, 珝
gnh, 瑕
gni, 㝳
gnn, 瓦
gnn, 玌
gnn, 玘
gnr, 戸
gnu, 忢
gnv, 丂
god, 严
gog, 亚
goi, 来
goi, 灭
goo, 琰
gov, 瑭
gpd, 辷
gpd, 迋
gpf, 琮
gpl, 珲
gpq, 琬
gpw, 琛
gqc, 殆
gqe, 万
gqf, 残
gqg, 琻
gqi, 歹
gqj, 列
gqm, 殃
gqp, 迈
gqq, 殉
gqr, 殊
gqt, 熬
gqu, 殚
gqv, 兀
gqv, 兀
gqw, 殓
gqx, 死
gqy, 玖
grd, 碧
grg, 珀
gri, 珠
grq, 瑰
gsh, 玎
gsi, 末
gsj, 亍
gsk, 珂
gss, 琳
gtb, 琇
gtf, 瓒
gtg, 珩
gtk, 珞
gtl, 璁
gtu, 麦
gty, 玫
gud, 夹
guf, 平
guj, 璋
gvh, 妻
gvt, 瑙
gwa, 玳
gwe, 珍
gwg, 瑜
gwn, 玑
gwu, 兲
gwy, 玲
gwy, 玐
gxg, 互
gxi, 素
gxu, 毒
gxw, 夷
gyc, 琉
gyg, 斑
gyg, 琂
gyi, 玉
gyi, 玊
gyk, 琼
gyr, 璃
gyt, 班
gyv, 琅
gyy, 玟
haa, 虐
hae, 虏
hag, 瞒
hak, 虞
hal, 瞄
han, 虑
hao, 虚
hav, 虍
haw, 虎
hay, 虔
hbg, 眲
hbj, 齒
hcd, 颇
hci, 皮
hct, 眸
hcu, 攴
hdf, 睚
hdg, 䀦
hdh, 辈
hef, 肯
heg, 眀
hep, 瞬
heq, 睨
hes, 睬
het, 䀐
hfc, 歧
hfh, 盰
hft, 睹
hfw, 睦
hgd, 上
hgd, 丄
hge, 睛
hgh, 卡
hgi, 叔
hgv, 睫
hhd, 频
hhg, 止
hhg, 䀠
hhh, 目
hhr, 步
hhu, 歨
hhw, 瞿
hhy, 卜
hip, 瞠
hjf, 卓
hjf, 㫖
hjg, 旧
hjs, 桌
hka, 战
hkf, 占
hko, 点
hlf, 盀
hlr, 卤
hmu, 贞
hmu, 貞
hna, 眠
hnb, 瞰
hnd, 鼎
hnm, 凹
hnr, 卢
hnt, 瞩
hoy, 眯
hpd, 瞎
hpg, 睿
hpq, 眈
hpv, 㢟
hqb, 見
hqc, 餐
hqd, 瞻
hqi, 眺
hqu, 歺
hqu, 㱑
hqv, 睁
hrh, 盺
hrt, 睥
hsf, 瞟
hsh, 盯
htf, 睡
hto, 瞅
htp, 眨
huj, 瞳
hux, 睇
hve, 眼
hwb, 龄
hwg, 瞪
hwu, 具
hwv, 盼
hwv, 凣
hwy, 瞧
hxd, 砦
hxf, 些
hxm, 赀
hxn, 此
hxs, 柴
hxw, 雌
hxx, 紫
hxy, 訾
hyt, 眆
hyx, 眩
hyy, 盿
iad, 湛
iag, 江
iaj, 漠
iak, 灌
ian, 汇
ian, 㲺
iap, 涝
iaq, 鸿
iar, 沤
ias, 柒
iat, 浇
iav, 沏
iaw, 洪
iay, 㳀
ibg, 洱
ibg, 汓
ibi, 涵
ibk, 凼
ibn, 池
ibn, 氾
ibw, 滁
iby, 汲
ica, 泾
icd, 渗
ice, 涌
icg, 泽
ick, 治
icw, 滩
icy, 汉
ide, 湖
idf, 涯
idf, 沯
idg, 沽
idg, 沰
idh, 沣
idj, 淹
idm, 湎
idr, 源
idt, 涛
idu, 尖
idy, 汰
idy, 汏
ieb, 浮
iee, 滔
ief, 肖
ief, 㳫
ieg, 沮
ieg, 㳉
iej, 削
iep, 逍
iet, 淫
iet, 氻
iex, 溪
ifa, 灞
ifc, 法
iff, 尘
iff, 坔
ifg, 汢
ifh, 汗
ifh, 汁
ifj, 潮
ifk, 洁
ifn, 污
ifp, 渤
ift, 渚
ifw, 潜
ifx, 浅
igb, 沌
igd, 添
ige, 清
igg, 汪
igh, 沔
igj, 洹
igk, 滞
igm, 沛
igo, 涞
igq, 耀
igs, 沫
igu, 浃
igw, 举
iha, 滤
ihc, 波
ihg, 泪
ihg, 沚
ihh, 涉
ihi, 渺
ihj, 淖
ihk, 沾
ihn, 泸
ihq, 瀣
iht, 小
ihw, 濉
iie, 消
iii, 淼
iim, 淌
iit, 沙
iiy, 沝
ija, 瀑
ijf, 沓
ijg, 汨
ijg, 汩
ijl, 漫
ijo, 湿
ijq, 渴
ijt, 滥
ijx, 混
ijy, 浊
ike, 涓
ikf, 呇
ikh, 汌
ikj, 渑
ikk, 澡
ikm, 涡
ild, 涸
ile, 渭
ilf, 泴
ilf, 畄
ilf, 畓
ilg, 泗
ilg, 沺
ilg, 㳑
ilh, 㳌
ilj, 単
ilk, 洄
ilp, 涟
ilr, 渐
ilw, 泅
ima, 澧
imd, 湍
ime, 滑
imf, 溅
img, 油
imh, 汕
imj, 测
imk, 尚
imw, 涔
imy, 浿
ina, 泯
inb, 潺
inf, 漏
ing, 渥
inh, 湄
inm, 涮
inn, 汜
inn, 㲸
inr, 汤
int, 泼
inx, 泥
iny, 沁
ioa, 渡
ion, 漉
ioo, 淡
iot, 㲿
iou, 濂
iov, 溏
ioy, 洣
ipb, 学
ipb, 
ipe, 浓
ipf, 尝
ipg, 演
iph, 涫
ipj, 溟
ipk, 党
ipl, 浑
ipm, 觉
ipq, 沈
ipr, 滨
ips, 泞
ipu, 滓
