a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
abirritative	adj.镇静的;消除紧张的
abject	adj.落魄的;卑鄙的
abjection	n落魄;卑鄙
abjective	adj.不幸的;令人沮丧的;无耻的
abjectly	adv.悲惨地;卑鄙地
abject poverty	赤贫
abjuration	n断绝;宣誓放弃
abjure	vt.发誓戒绝;公开放弃(主义，信仰)
abjure the realm	宣誓永不回国
abkhazian	n阿布哈西亚人;阿布哈西亚语;adj.阿布哈西亚的
abl	adj.=ablative
ablactate	v.使断奶
ablactation	n断奶
ablare	adj.adv.喧哗;吵闹(的，地)
ablast	n原子弹爆炸
ablate	vt.切除;使融化;摩损;vi.融化
ablation	n除去;部份切除;融化
ablatival	adj.夺格的(拉丁文法的)
ablative	nadj.夺格的(拉丁文法的)
ablative absolute	夺格独立句
ablative case	夺格
ablator	n烧蚀挡板(太空船外的防热物质)
ablaut	n[言]母音变换
ablaze	adj.adv.烧起，炽燃
able	可…的;能…的
able bodied	adj.强壮的
able bodied man	n壮丁
able bodied seaman	n熟练之水手;二等水兵
ablegate	n天主教教宗为某持殊任务而派遣外地之特使
able minded	adj.能干的
able mindedness	n能干
ablepharous	adj.没有眼脸的
ablepsia	n=ablepsy
ablepsy	n失明;视觉缺失
ablings	adj.也许;大概
ablins	adj.= ablings
abloom	adj.adv.花开的;盛开灺
abluent	nadj.洗涤的;洗涤剂
ablush	adj.adv.赧然;脸红(的，地)
ablution	n斋戒沐浴;洗净;净水
ablutionary	adj.斋戒沐浴的;洗净的;洗礼的
ably	adv.能干地;巧妙地
abm	n=antiballistic missile反道弹飞弹
abmho	n绝对姆欧
abnaki	n艾布那基族;艾布那基人(语)
abnegate	vt.拒绝;於弃
abnegation	n拒绝;於弃
abnegator	n拒绝者;弃权者
abnormal	adj.异常的;变态的
abnormalcy	n=abnormality
abnormalism	n异常;变态性;反常性
abnormality	n反常的，畸形，不规则
abnormally	adv.异常的，例外地，变态地
abnormal psychology	n变态心理学
abnormity	n异常，不规则，畸形
abo	adj.[蔑]土佬(澳洲土着)
aboard	adv.在(船，车，飞机)上
aboardage	n两船接近於平行时的相撞
abode	n住宅，家;v.p.pp.=abide
abo group	n(遗传)血液型原体(抗原群)
abohm	n绝对欧姆;电磁欧姆
aboideau	n低地防潮之堤坝
aboil	adj.adv.沸腾(的，地)
aboiler	n原子反应器加热用的锅炉
abolish	vt.取消，废除
abolishable	adj.可废除的
abolishment	n废止，撤废
abolition	n取消，废除;废除黑奴制度
abolitionism	n废除(黑奴)论
abolitionist	n废除(黑奴)论者
abolitionize	v.使赞成废除(黑奴)制度
abomasa	pl.=abomasum
abomasum	n皱胃(反刍动物的第四胃)
abomasus	=abomasum
abomb	n原子弹 =atomic bomb
abominable	adj.讨厌的;恶劣的
abominably	adv.可恶地，可恨地
abominate	vt.厌恶，痛恨
abomination	n厌恶，憎恨，可恶的事物
abominator	n憎恶者;嫌恶者
aborad	adv.离口侧;对口侧
aboral	adj.离口的;对口的
aborally	adv.离口地;对口地
aboriginal	adj.原来的;土着的;n原住民，土着;原有的动植物
aboriginal dance	n山地舞
aboriginality	n原始状态;本土性
aboriginal tribesman	n山胞
aborigines	npl.原住民，土人;土生的动植物
aboriginially	adv.从最初;原来
aborning	adv.在生产中
abort	vi 流产;堕胎;(使)失败
abortarium	n[美]堕胎医院
aborted	adj.流产的;早产的;发育不建全的
aborticide	n打胎;堕胎药
abortifacient	adj.促使流产的;引起堕胎的
abortion	n流产;堕胎;夭折;失败
abortionist	n施行堕胎术者
abortive	adj.流产的，早产的，失败的
abortive enterprise	失败的事业
abortively	adv.流产地;失败地
abortus	n流产儿
abought	p.pp.=aby(e)
aboulia	n意志力丧失
abound	vi.丰富，充满
abound in	富於
abounding	adj.丰富的;大量的
about	adv.pre.关於;在周围;附近;大约
about face	n向後转，变挂，改变主意;vi.向後转，转向
aboutship	v.[航]强风;改变航向
aboutsledge	n大铁槌
aboutturn	n向後转
above	adv.pre.在…上面;超过;以上;多过;n上方，天上
above all	尤其是;最重要的是
aboveboard	adj.adv.率直的;正大的，光明磊落的
abovecited	adj.上文所引用的
abovedeck	adv.光明磊落地;坦诚地;在甲板上
aboveground	adj.在地面上;未死的
above mentioned	adj.上述的;前述的
above norm	adj.限额以上的
above oneself	自大;得意忘形
abovestairs	n主卧房;楼上房间;adj.在楼上的;adv.在楼上
abp	n=archbishop
abr	[略]abridge;abridged
abracadabra	n三角形驱病符，咒文;胡言乱语
abradant	n磨蚀物;adj.磨损的
abrade	v.擦掉，擦伤
abrader	n磨石
abraham	n[名]亚伯拉罕
abrahamman	n[史]装癫乞丐
abranchial	adj.[动]无鳃的
abranchiate	n无鳃的动物
abrarion	n磨损
abrase	v.磨去;擦去
abraser	n磨石
abrasion	n擦伤，磨灭;[地]磨损，剥蚀
abrasive	adj.磨擦的;n金刚砂
abrator	n离心喷光机
abraxas	n古时刻在玉石上避邪的文字
abreact	vt.使发泄
abreaction	n精神发泄治疗法
abreast	adv.并行;并肩
abreast with	并进;并肩
abri	n避难所;防空洞
abridgable	adj.[英]=abridgeable 可以删节的
abridge	vt.摘要;缩短;削夺
abridgement	=abridgment
abridge of	剥夺
abridgment	n删节;缩短;删节本
abrim	adj.adv.满满的
abroach	adj.adv.酒桶开口(可使水流出)
abroad	adv.在国外;到国外
abrogate	vt.取消，废除
abrogation	n废除
abrupt	adj.突然的;粗暴的;陡的;[地]断裂的;[植]裂状的
abruption	n分裂;分离
abruptly	adv.突然间;唐突地
abruptness	n突然;唐突
abs	n. 全称Anti-Lock Brake System防抱死煞车系统;n.全称Acrylonitrile Butadiene Styrene Copolymer聚丙烯腈-丁二烯-苯乙烯共聚物 < font>
absalom	n[圣]押沙龙(犹太王大卫的三子，因背叛父王而被杀;旧约撤母耳记下18章)
abscess	n脓疮;溃伤
abscessed	adj.长脓疮的
abscind	v.切断;割断;分开;割去
abscise	n[植]自然脱落;v.切除;割去
abscisin	n脱落素;离层素
abscissa	(pl.-sas，-sae)n[数]横座标
abscissae	=abscissa
abscission	n切除;脱离;顿断法
absciss layer	n[植]离层
abscond	vi.逃亡，潜逃
abscondee	n潜逃者;逃亡者
abscondence	n逃亡，失踪;出奔
abscond with the money	n卷款潜逃
abseil	n沿绳滑下法
absence	n缺席;缺少
absence of minded	n心不在焉;发呆
absent	adj.缺席的;缺乏的;心不在焉的;漠不关心的;v.使缺席;擅自离开
absentation	n缺席
absentee	n缺席者
absenteeism	n矿课;矿工
absent from	缺席
absently	adv.心不在焉地;茫然地
absent minded	adj.心不在焉的;茫然的;恍惚的
absent mindedly	adv.心不在焉地;茫然地;恍惚地
absent mindedness	n心不在焉;心神不定;茫然
absent over leave	逾假不归
absent treatment	n冷落;卖座少;视如不见
absent without leave	擅离职守
absinth	=absinthe
absinthe	n苦艾酒;苦艾
absinthegreen	adj.淡绿色的
absinthin	n苦艾素
absinthine	adj.像苦艾的
absinthism	n苦艾酒中毒
absinthium	n苦艾;苦艾油;晒乾的艾叶或艾花
abskize	v.逃亡;逃脱
absolute	adj.绝对的;完全的;专制的;确定的
absolute altitude	n绝对高度
absolute humidity	n绝对湿度
absolutely	adv.完全地;独裁地;绝对地
absolute majority	n绝对多数;过半数
absolute monarchy	n君主专制政体
absoluteness	n完全;专制;绝对
absolute value	n绝对值
absolution	n免除;赦免;解除责任
absolutism	n专制主义;绝对主义
absolutist	n专制主义者;绝对主义者
absolutization	n绝对化
absolutize	v.使…变成绝对的;使…绝对化
absolutory	adj.给予赦免的;给予宽恕的
absolvable	adj.可赦免的
absolve	v.赦免;解除
absolvent	n赦免者;adj.赦免的
absonant	adj.不合谐的;不合理的;悖理的
absorb	vt.吸收;吞并
absorbability	n吸收性
absorbable	adj.可被吸收的;易吸收的
absorbate	n被收的物质
absorbed	adj.全神贯注的;一心一意的;被…所吸收的
absorbedly	adv.入神地;全神贯注地
absorbefacient	n[医]吸收剂;adj.吸收性的
absorbent	adj.吸收性的;有吸收力的
absorbent cotton	n脱脂棉;药棉
absorbenting	adj.引人注意的
absorber	n吸收者;吸收体;吸收器;吸收装置
absorberman	n管理吸收器的人
absorbing	adj.吸收的;引人入胜
absorbingly	adv.引人入胜地;非常有趣地
absorbing well	n吸收井
absorptance	n吸收比
absorptiometer	n吸收计;吸收测定器
absorption	n吸收;专心;合并
absorption by	合并
absorption coefficient	n吸收系数;吸收率
absorption in	凝神
absorption into	合并
absorptive	adj.吸收性的;有吸力的;并吞的
absorptivity	n吸收率;吸收性
absquatulate	v.逃走;溜掉
absquatulater	n开小差;潜逃者
absquatulation	n开小差;潜逃
abstain	vi.戒，禁烟;弃权
abstainer	n戒酒的人;弃权者
abstemious	adj.有节制的;自制的
abstemiously	adj.有节制地;适度地
abstention	n戒绝;弃权;克制
abstentious	adj.有节制的
absterge	v.擦去;洗净;去垢;净化
abstergent	v.去污剂;洗涤剂;adj.洗净的;有去垢性的
abstersion	n洗净;净化;去垢物
abstersive	adj.使洁净的;洗净的
abstinence	n禁慾;戒酒
abstinency	n禁慾;节制
abstinent	n禁慾者;adj.禁慾的;有节制的
abstract	adj.抽象的;理论上的;难解的;n摘要;理论;抽象艺术;vt.摘要;偷窃;提炼;抽取
abstracted	adj.分离的;抽象的;被分出的
abstract expressionism	n抽象画派
abstraction	n抽象;摘要;出神
abstractionism	n[美]抽象派;抽象主义
abstractionist	n[美]抽象派画家;理想家
abstractive	adj.抽象的;抽象性的;adv.抽象地;抽象性地
abstractly	adv.抽象地;理论上地
abstract noun	n抽象名词
abstract number	n[数]不名数
abstruse	adj.奥妙的;深奥的;难解的
abstrusely	adj.深奥地;难解地
abstrusity	n深奥;难解
absurd	adj.不合理的;无稽的;荒谬的
absurdism	n荒谬主义
absurdist	n荒谬主义者
absurdity	n不合理;荒谬;可笑
absurdly	adv.不合理地;无稽地
absurdness	n不合理;荒唐
abt system	n[铁路]阿卜特式
abulia	n意志力丧失
abuliding	adj.酝酿中的;兴建中的
a bull in a china shop	n破坏情调的粗人;捣蛋鬼
a bully is always a coward	n横行霸道的人其实是胆小鬼
a bully never grows up	n霸道的人永远长不大
abundance	n丰富;富裕
abundant	adj.丰富的;富裕的
a burnt child dreads the fire	n烧伤的孩子见火怕
abusage	n不适当的言语;文字的滥用
abuse	vt.滥用;虐待;咒骂;n滥用;虐待;污蔑
abusive	adj.骂人的;滥用的;虐待的
abusively	adv.骂人地;滥用地;虐待地
abusiveness	n骂人;滥用;虐待
abustle	adj.忙碌的;熙来攘往的
abut	v.邻接，靠近
abutilon	n白麻;茼麻植物等
abutment	n邻接;接合;支柱;桥墩
abuttal	n邻接;毗连;地界
abutter	n邻地业主;隔邻地主
abutting	n邻接的;毗连的
abuzz	adj.嘈杂的;嗡嗡叫的
abvolt	nC.G.S.公制的势差单位
aby	v.赎(罪);偿;赔
abye	=aby
abysm	n深渊;无底洞;地狱;浑沌
abysmal	adj.深不可测的;地狱似的;无底的
abyss	=abysm
abyssal	adj.深渊的;深海的;深不可测的
abyssalbenthic	adj.深海海底的
abyssalpelagic	adj.深海水域的
abyssinia	n非洲阿比西尼亚
abyssinian	n非洲阿比西尼亚人(语)
abyssobenthic	= abyssalbenthic
abyss of despair，the	绝望的深渊
abyssopelagic	= abyssalpelagic
ac	有…之特徵的;有关…的
acacia	n洋槐;刺槐;阿拉伯橡树
acacian	adj.东西基督教教会分裂的
academe	=academy
academia	n学术界(环境);学术生活
academic	adj.学院的;学理上的;学术上的;研究院的;传统的;n大学生;学者;pl.纸上谈兵
academical	adj.学术的;理论上的;学术上的;研究院的;传统的
academically	adv.学术上;学理上;理论上;学问上地;空论地
academicals	n普通学士;硕士;博士服
academic costume	n大学礼服
academic freedom	n学术自由
academician	n院士;学会会员;学士院会员;协会会员
academic rank	n大学教师的等级
academism	n学院派;学院风气
academize	v.使…成为刻板传统的
academy	n研究院;学会;学校
acadia	n包括现在Nova Scotia州的旧称
acadian	adj.阿克底亚的;阿克底亚人的
acajou	n桃花心木
acalculia	n计圈缺失
acaleph	n水母
acalephe	=acaleph
acalycine	adj.无花萼的
acalycinous	=acalycine
acanth	pref.有刺的;刺状的
acantha	n脊椎;刺;鳍;鱼翅
acanthaster	n[动]刺冠海星
acanthoid	adj.棘状的;刺状的
acanthopterygian	n棘鳍类的鱼;adj.棘鳍类的
acanthus	n[植]爵床;莨苕;(柱头上的)爵床叶形的装饰
acapnia	n血液二氧化碳缺乏
acardia	n[医]无心畸型
acardiac	adj.[医]无心畸型的
acariasis	n疥癣;疥虫病
acaricide	n杀虫剂
acarid	n壁蝨;恙虫
acaridan	adj.壁蝨类的
acaroid	adj.似壁蝨的
acarophobia	n[精神病学]恙虫恐怖
acarpellous	adj.无心皮的
acarpelous	=acarpellous
acarpous	adj.无果实的
acatalectic	adj.诗行音节数完全的
a cat has nine lives	n猫有九条生命
a cat may look at a king	n猫儿有权见龙颜
acaudal	adj.没有尾巴的
acaudate	=acaudal
acaulescent	adj.[植]无茎的
accede	vi.依从;继承;同意;就任;参与
accelerando	n[乐]渐速音;adj.adv.[乐]渐速(的，地)
accelerant	n催化剂;触媒
accelerate	vt.加速;促进
accelerated	adj.早熟的
accelerated motion	n加速运动
acceleration	n加速度;促进
acceleration centripetal	n向心加速度
acceleration of gravity	n重力加速度
accelerative	adj.加速的;催促的;=acceleratory
accelerator	n加速器;加速剂
accelerator pedal	n油门
acceleratory	adj.加速的;催促的
accelerograph	n爆炸压力计加速仪
accelerometer	n加速表
accent	n重音，口音;vt.强调
accentor	n山鹨
accentual	adj.强音的;有抑扬的
accentuate	v.重读;极力主张;强调
accentuation	v.重读;强调;重音符号;
accentuator	n着重者;强调者
accept	vt.接受;认可
acceptability	n接受
acceptable	adj.可接受的
acceptably	adv.可欣然接受地
acceptance	n接受;容纳;承诺;认付
acceptance of persons	偏爱，偏坦
acceptant	adj.易接受的;可容纳的
acceptation	n承认;通义
accepted	adj.一般所认可的;有效的
acceptee	n被接受的人
accepter	n接受人;承诺人;承兑人
acceptive	adj.易接纳的;可领受的
acceptor	=accepter
access	n接近;接纳
accessary	n同谋;附属;补助;adj.附属的;补助的;同谋的
accessibility	n易接近;可亲;易受影响
accessible	n可接近的;可使用的
accessibly	adv.可接近地;可亲地
accession	n接近;就任;增加;参加;v.登记新到书籍
accessional	adj.附加的;另外的
accession number	n图书馆对新添(书籍;画册)编号
accessoirily	adv.附从地;附属地
accessorial	adj.补助的;同谋的
accessorius	n副神经
accessory	adj.附属的;补助的;同谋的;n零件;从犯;附属品
access permit	n进入许可证
access time	n存取时间
access to	有权使用
acciaccature	n饰音
accidence	n初步;入门
accident	n突然事故;意外;横祸
accidental	adj.偶然的，意外的
accidentalism	n偶然;无意;偶发的结果;偶然论;偶发说
accidentalist	n偶然论者;偶然论的
accidentally	adv.偶然地;意外地
accident boat	n救生艇
accidented	adj.凹凸不平的
accident prone	adj.特别易产生事故的
accidentproof	adj.防止意外的用具
accidie	n懒惰;忧郁;绝望
accipiter	n鹰;鹰类的猛禽;鹰爪状绷带
accipitral	adj.鹰的;眼光敏锐的
acclaim	n喝采;欢呼;赞同;v.欢呼;喝采;称赞
acclamation	n喝釆;欢呼;赞成;表决通过
acclamatory	adj.喝釆的;欢呼的;称赞的
acclimate	v.[美]使服水土;适应於新环境
acclimation	n新环境适应;服水土;适应气候
acclimatization	=acclimation
acclimatize	vt.使适应;使服水土
acclivitous	adj.倾斜的
acclivity	n斜坡;上坡
acclivous	adj.向上斜的
accolade	n援与;赞赏
accommodable	adj.可适合的;可适应的
accommodate	vt.容纳;适应;供应住宿;
accommodating	adj.和善的;顺从的
accommodation	n膳宿;适应;调节
accommodation road	n专用道路
accommodation train	n美式慢车
accommodative	adj.随和的;亲切的
accommodator	n适应者;调解者
accompanier	n同伴;伴唱者
accompaniment	n伴随物，附属物;伴唱(奏)
accompanist	随伴者;伴奏者
accompany	vt.陪…同行;附有;伴奏
accompanying	adj.陪伴的;附随的
accomplice	n帮凶
accomplish	vt.完成;达到
accomplishable	adj.可达成的;可完成的
accomplished	adj.已实现的;已完成的;娴熟的，熟练的
accomplishment	n成就;才能;贯彻;修养
accord	v.一致;调和;vt.给与;使调和;n调和;和解;意向;[乐]谐和音
accordable	n可一致的
accordance	n一致;给予
accordancy	n=accord
accordant	adj.一致的;相合的;调和的
accordant junction	n汇流
accordatura	n[乐]基调
according	adv.依照;依据;按
according as	随着，按着
accordingly	adv.依照;依据;於是;相应地
according to	依照…
accordion	n手风琴;adj.折摺的;如手风琴之摺箱的
accordionist	n手风琴演奏者
accost	vt.搭讪;招呼;勾引
accostable	adj.易接近的
accouche	v.接生
accouchement	v.分娩;生产
accoucheur	v.男性妇产科医
accoucheuse	v.女助产士;产婆
account	n计算;会计;报生;解释;原因;重要性;v.解释;说明;认为
accountability	n责任;有义务
accountable	adj.有责任的;可解说的
accountably	adv.有责任地;可说明地
accountancy	n会计员(职位)
accountant	n会计员
accountant general	n会计长;会计主任
accountant officer	n主计官
accountantship	n会计职务
account book	n帐簿
account day	n付款日;结帐日
account for	说明;解释
accounting	n会计(学)
accouter	vt.穿;装备
accouterment	n穿着;配备
accoutre	= accouter
accoutrement	=accouterment
accra	n阿克拉
accredit	vt.信任;认可
accreditation	n鉴定;任命
accredited	adj.可接受的;可听的;何信赖的
accrescence	n添加;成长;加大
accrescent	adj.成长的;加大的
accrete	v.生长;合生;(使)附着
accretion	n增加物;黏着物
accroach	v.夺取;侵占
accrual	n获利;收益;利息
accrue	vi.产生;发生;增殖
acculturate	v.(使)接受社会文化;(使)文化改观
acculturation	n文化交流;文化改观
acculturationist	n文化传入过程研究者
acculturize	v.使…接受外来文化
accumbent	adj.横卧的;凭着的;依伏的
accumulate	v.积;储蓄;累积
accumulation	n累积;堆积
accumulation point	n聚点
accumulative	adj.热心积聚的;积累的
accumulator	n累积者;储蓄家;储电池
accuracy	n正确;准确;精密
accurate	adj.正确的;准确的;精密的
accurately	adv.正确地;精密地
accursed	adj.被咒的;可恶的
accurst	adj.被咒的;可恶的
accusable	adj.可指控的;可责备的
accusal	adj.指控;谴责
accusant	adj.指控者;指责者
accusation	n责备;控告;告发
accusatival	adj.[文]直接受格的
accusative	n直接受格;adj.[文]直接受格的
accusatorial	adj.控告者的;告发人的
accusatory	adj.问罪的;控告的
accuse	vt.谴责;控告;归咎
accused	n被告;adj.被控告的
accuse of	因某事控告某人
accuser	n控告人;原告
accusing	adj.怪罪的;归咎的
accusingly	adv.怪罪地
accustom	vt.使习惯
accustomed	adj.习惯了的，惯常的
accustomed hour	惯常时间
accutron	n电子手表
ac dc	交直流两用
ace	n么点;能手;王牌;adj.第一流的;卓越的
acedia	n懒惰;绝望;忧郁
ace high	adj.adv.极好(的，地)
aceldama	n血田;流血之地
acellular	adj.无细胞的
acentric	adj.无中心的;离心的
aceous	…似…的;有…之性质的
acephalous	adj.无头的;群龙无首的
acequia	n灌溉水渠
aceraceous	adj.槭树科的
acerate	adj.有针状叶子的
acerb	adj.酸涩的;刻薄的
acerbate	adj.发怒的;心怀怨恨的;v.激怒;使苦涩
acerbating	adj.使发怒的;使烦恼的
acerbic	adj.酸的;涩的;尖刻的
acerbity	n酸味;苦涩;刻薄
acerose	adj.针状的
acerous	adj.无角的
acervate	adj.群生的
acervulus	n分生孢子层
acescent	adj.容易变酸的;发酸的
acesodyne	n止痛;止痛药;adj.止痛的
acestoma	n肉芽块
acet	=acetone
acetabula	pl.=acetabulum
acetabuliform	adj.碟状的
acetabulum	n[解]髀臼;[动]吸盘
acetal	n[化]乙酸醛
acetaldehyde	n[化]乙醛;醋醛
acetamide	n乙醯胺
acetanilid	n止痛(退热)剂
acetarious	adj.拌生菜食用的;凉拌用的
acetate	n[化]醋酸盐
acetated	adj.用醋酸处理过的
acetic	adj.醋的;酸的
acetic acid	n乙酸;醋酸
acetic anhydride	n乙酐;无水醋酸
aceticity	v.醋化;发酸
aceticous	adj.醋一样的
acetification	n醋化作用
acetifier	n醋酸制造器;醋化器
acetify	v.醋化;变酸
acetimeter	n醋酸比重计
acetobacter	n醋菌属
acetometer	n醋酸计
acetone	n[化]丙酮
acetone body	n酮体
acetophenetidin	n乙醯氧乙苯胺
acetose	adj.酸的;醋一样酸的
acetous	adj.醋的;酸的
acetum	n醋酸溶液;醋
acetyl	n乙醯基;醋酸基
acetylate	v.[化]加乙醯基於
acetylcholine	n醋胆素
acetylene	n[化]乙炔;电石气
acetylic	adj.乙醯基群的
achaea	n阿该亚(古希腊的一地区)
achaean	n阿该亚人;希腊人
achaetous	adj.无刚毛的
a chain is no stronger than its weakest link	n最弱的一环决定了整个链条的强度
achalasia	n[医]弛缓不能
acharnement	n凶猛
achates	n忠实的朋友
ache	nvt.痛，疼痛;渴望;憧憬
achech	n有鸟翼的狮身怪物
achelous	n河神
achene	n[植]瘦果
acheron	n[希神，罗神]冥河;阴间;黄泉;地狱
acheulean	adj.阿秀尔时期的
acheulian	adj.欧洲旧石器时代早期文化的
achievable	adj.可完成的
achieve	vt.完成;获得
achievement	n完成，成就
achievement quotient	n成绩指数(以教育成绩除以年龄得的指数)
achievement test	n成就测验
achillean	adj.勇敢的;刀枪不伤的;[A-]阿奇力斯的
achilles	n阿契里斯
achinese	n阿钦族;阿钦人(语)
aching	adj.痛的;疼痛的;心痛的
achiote	n胭脂子;胭脂树
achlamydeous	adj.无花被的
achlorophyllous	adj.无叶绿素的
acholuria	n[医]无胆尿
achondrite	n不含球粒陨石
achondroplasia	n软骨发育不全
achromat	色盲患者
achromatic	adj.无色的;消色差的
achromaticity	n无色;消色差性
achromatic vision	n[医]无色视觉;完全色盲
achromatin	n(细胞核内的)非染色质
achromatism	=achromaticity
achromatization	n无色彩;消色差
achromatize	n使无色;灭色;去色
achromatophil	n拒色组织
achromatophilia	n拒染性
achromatopsia	n色盲
achromatopsy	n完全色盲
achromatous	adj.无色;淡色的
achromic	adj.色素缺乏的
achromobacter	n无色菌
achromycin	n铂霉素
acicula	n[生]针;刺
acicular	adj.针状的;针尖状的
aciculate	adj.有刺的
acid	adj.酸味的;尖酸的;尖刻的;n[化]酸;酸性物质
acid color	n酸性染料
acid drop	n酸的糖果
acidemia	n[医]酸血症
acidfast	adj.不易被酸褪色的
acidforming	adj.成酸性的
acidhead	n吃迷幻药者
acidic	adj.产生酸的;酸性的
